Type,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Private petroleum pipelines,"3,120","3,131","2,807","3,232","2,750","3,799","4,306","2,977","1,690","1,560","1,688","1,558","1,282","1,292","1,067","2,015","2,768","1,758","1,291","1,451","3,193","3,530","2,141","2,487","3,435","2,160","2,236","4,972","10,792","14,953","5,734","2,333","2,405","3,042","2,505","1,179","1,400",805,808,876,"1,096","1,057",915,"1,071","1,921","2,138","2,420","2,313","2,106","2,277","2,121","2,724","3,127","2,018","1,862","2,309","2,002","2,537","1,768","2,403","6,393","7,009","5,933","10,469","3,896","7,118","16,113","17,235","11,933","6,166","7,353"
Private natural gas pipelines,"6,945","7,440","9,076","11,716","13,040","8,932","9,784","8,645","10,315","11,618","11,148","10,439","12,025","11,226","11,166","10,006","9,554","11,842","13,452","15,961","15,177","19,393","16,373","14,432","12,770","14,115","14,058","12,281","8,899","8,152","8,791","10,002","11,606","12,835","13,591","11,586","7,524","8,240","10,143","9,769","9,473","10,248","11,741","12,563","14,229","17,378","13,852","10,878","14,237","10,591","8,768","15,875","10,327","9,840","10,027","11,768","11,917","8,188","7,157","7,254","10,535","12,581","13,351","9,818","11,165","10,317","10,995","11,054","12,651","15,112","13,023"
Transportation,"32,210","34,972","41,008","45,614","42,614","46,124","51,870","61,628","65,961","66,961","70,418","78,039","81,955","81,243","86,847","90,185","98,080","98,274","102,689","109,568","108,992","112,570","106,628","100,968","98,498","95,370","89,949","80,709","78,632","78,833","79,880","90,546","99,502","93,936","81,646","72,901","77,313","92,705","101,561","101,925","102,494","108,006","108,523","116,070","115,417","117,516","123,649","129,841","124,399","126,013","128,376","133,800","139,567","147,285","154,992","156,091","153,829","150,704","142,405","140,412","132,543","127,578","129,582","128,866","122,569","118,975","115,695","120,412","126,877","128,049","126,262"
Federal,933,"1,243","1,659","1,909","1,589","1,637","1,699","1,567","1,337","1,354","1,513","1,790","2,004","2,227","2,583","2,772","2,924","3,071","3,215","3,183","2,129","1,786","1,365","1,008","1,225","1,359","1,532","1,194","1,183","1,420","1,542","1,670","1,622","1,264","1,069",751,851,618,"1,065",721,861,"1,258","1,132","1,239","1,617","1,569","1,602","1,665","1,729","1,941","1,932","1,802","1,743","1,920","1,845","2,218","1,664","1,993","1,215",950,"1,197","1,024",990,"1,279","1,006",737,805,609,748,983,"1,041"
Private,"10,438","10,392","9,808","8,790","9,379","10,466","10,058","8,053","7,709","7,749","7,301","5,599","5,165","5,333","4,580","4,676","5,078","5,361","6,086","6,889","6,418","6,618","6,845","5,909","6,049","6,323","6,589","6,547","5,600","6,956","7,411","8,751","8,712","8,088","7,780","7,188","6,815","7,921","9,045","6,892","6,065","5,892","5,998","5,803","5,291","5,952","6,091","6,367","6,511","7,769","8,666","9,856","8,681","8,957","8,944","8,311","7,807","7,913","8,088","9,525","9,560","10,248","9,283","10,088","9,551","10,762","10,678","11,558","12,697","11,834","12,928"
S&L,"20,840","23,337","29,540","34,915","31,646","34,021","40,113","52,008","56,915","57,858","61,604","70,650","74,786","73,682","79,684","82,738","90,078","89,842","93,387","99,496","100,445","104,165","98,418","94,051","91,224","87,688","81,828","72,967","71,849","70,458","70,927","80,125","89,167","84,584","72,797","64,962","69,647","84,166","91,451","94,312","95,568","100,856","101,393","109,027","108,508","109,995","115,956","121,809","116,158","116,303","117,778","122,141","129,143","136,408","144,203","145,562","144,358","140,797","133,101","129,937","121,786","116,307","119,309","117,499","112,011","107,476","104,212","108,245","113,432","115,232","112,293"
Transportation,"32,210","34,972","41,008","45,614","42,614","46,124","51,870","61,628","65,961","66,961","70,418","78,039","81,955","81,243","86,847","90,185","98,080","98,274","102,689","109,568","108,992","112,570","106,628","100,968","98,498","95,370","89,949","80,709","78,632","78,833","79,880","90,546","99,502","93,936","81,646","72,901","77,313","92,705","101,561","101,925","102,494","108,006","108,523","116,070","115,417","117,516","123,649","129,841","124,399","126,013","128,376","133,800","139,567","147,285","154,992","156,091","153,829","150,704","142,405","140,412","132,543","127,578","129,582","128,866","122,569","118,975","115,695","120,412","126,877","128,049","126,262"
Highways and streets,"20,195","22,535","28,577","33,834","30,485","33,310","38,987","50,297","54,517","55,386","59,045","67,880","71,753","69,961","75,292","79,377","85,748","85,740","88,800","93,618","91,891","93,977","87,923","84,730","84,018","78,844","72,817","64,042","63,371","60,840","61,597","69,399","76,985","70,674","60,077","52,261","55,774","69,263","76,177","77,959","78,833","83,393","82,304","88,793","88,247","88,478","91,913","97,053","92,992","93,222","95,079","99,905","104,805","107,696","112,686","112,954","109,168","109,258","105,330","103,685","96,796","90,740","91,745","90,637","86,911","83,131","79,298","80,304","84,759","87,444","85,329"
Air transportation,731,979,"1,264","1,377","1,287","1,019","1,274","1,613","1,831","1,931","2,037","2,329","2,564","3,296","3,842","3,263","3,291","3,571","3,714","3,465","4,259","4,545","4,863","4,955","4,012","4,180","3,987","3,799","3,306","3,248","3,198","4,210","5,131","5,543","4,597","4,297","5,027","5,962","6,554","7,391","7,920","8,119","8,444","9,207","9,728","11,153","12,289","10,751","8,525","9,375","10,583","11,658","12,734","15,175","16,797","15,465","15,595","14,709","12,938","12,082","11,683","11,839","12,730","12,291","10,178","9,350","8,765","8,361","8,781","9,742","11,048"
Water transportation,354,460,608,681,630,484,616,783,956,995,"1,045","1,170","1,372","1,427","2,041","1,880","2,349","1,751","2,044","2,301","2,353","2,366","2,167","1,741","1,277","1,359","1,366","1,203","1,422","1,449","1,324","1,915","2,340","2,598","2,176","1,837","1,769","1,746","2,080","2,130","1,935","2,036","2,106","2,099","1,746","1,626","1,875","1,889","2,186","2,518","2,322","2,323","2,653","5,077","5,415","4,235","4,030","2,504","2,271","2,355","2,339","2,157","2,305","2,372","2,119","2,041","2,400","3,000","2,697","2,301","2,489"
Rail transportation,"10,210","10,047","9,395","8,384","8,976","10,094","9,627","7,530","7,274","7,251","6,766","4,918","4,364","4,365","3,652","3,720","4,035","4,352","4,760","5,544","5,116","6,008","6,126","5,185","5,360","5,629","5,846","5,902","5,037","6,317","6,757","7,991","7,890","7,226","6,930","6,221","5,749","6,606","7,525","5,450","4,566","4,230","4,595","4,387","3,987","4,726","4,707","4,924","5,055","6,137","6,861","7,704","6,141","5,465","5,592","5,513","5,676","6,218","6,672","8,187","8,047","8,790","8,290","9,140","8,534","9,158","8,996","9,814","11,016","9,182","9,184"
Transit ,227,291,378,422,393,310,389,489,595,621,661,727,827,"1,051",680,548,"1,195","1,399","1,783","3,052","4,230","4,812","4,918","3,829","3,193","4,648","5,117","5,113","4,892","6,268","6,240","6,204","6,348","7,124","7,245","7,797","8,441","8,684","8,516","8,479","8,675","9,373","10,333","10,951","10,937","10,807","12,119","14,401","14,802","13,852","12,428","10,973","11,786","12,269","13,174","15,821","17,992","16,829","14,385","13,397","12,759","13,106","13,725","13,565","14,030","14,523","15,303","17,996","18,579","18,125","17,245"
Other federal,459,608,724,855,781,852,911,836,721,702,783,912,954,998,"1,200","1,253","1,306","1,308","1,387","1,385",947,770,522,419,533,604,703,553,518,615,665,712,684,642,493,341,391,245,480,298,337,603,529,419,575,542,536,605,619,787,838,803,818,769,790,"1,150",604,705,377,254,359,344,355,318,393,241,248,204,321,414,266
Other private,34,52,62,61,61,56,65,79,66,75,81,103,121,146,140,144,157,152,200,203,196,92,108,109,104,105,112,97,85,96,99,115,124,130,128,146,161,198,229,217,226,251,212,214,197,185,209,218,220,122,265,435,630,835,537,953,763,481,433,452,560,602,432,543,404,531,686,734,724,841,701
Highways and streets,"20,195","22,535","28,577","33,834","30,485","33,310","38,987","50,297","54,517","55,386","59,045","67,880","71,753","69,961","75,292","79,377","85,748","85,740","88,800","93,618","91,891","93,977","87,923","84,730","84,018","78,844","72,817","64,042","63,371","60,840","61,597","69,399","76,985","70,674","60,077","52,261","55,774","69,263","76,177","77,959","78,833","83,393","82,304","88,793","88,247","88,478","91,913","97,053","92,992","93,222","95,079","99,905","104,805","107,696","112,686","112,954","109,168","109,258","105,330","103,685","96,796","90,740","91,745","90,637","86,911","83,131","79,298","80,304","84,759","87,444","85,329"
Federal,474,635,935,"1,054",808,786,788,731,616,652,730,878,"1,050","1,229","1,383","1,519","1,618","1,763","1,828","1,799","1,183","1,017",842,589,691,755,828,641,665,805,877,958,938,622,576,410,460,373,585,423,524,655,603,820,"1,043","1,027","1,066","1,060","1,110","1,155","1,094","1,000",925,"1,151","1,055","1,068","1,060","1,288",839,696,838,680,635,962,613,496,557,406,427,569,775
S&L ,"19,721","21,900","27,642","32,780","29,678","32,524","38,199","49,566","53,901","54,735","58,315","67,002","70,703","68,732","73,909","77,859","84,129","83,977","86,972","91,820","90,709","92,961","87,081","84,141","83,327","78,090","71,989","63,401","62,706","60,035","60,720","68,441","76,047","70,051","59,501","51,851","55,314","68,890","75,592","77,536","78,310","82,739","81,701","87,972","87,204","87,451","90,847","95,993","91,881","92,068","93,985","98,905","103,880","106,545","111,631","111,886","108,108","107,969","104,491","102,990","95,958","90,061","91,110","89,675","86,298","82,635","78,740","79,898","84,332","86,875","84,554"
Air /water /other transportation,"11,788","12,145","12,053","11,358","11,735","12,505","12,494","10,841","10,849","10,954","10,712","9,432","9,374","10,231","10,875","10,260","11,138","11,135","12,105","12,898","12,871","13,781","13,786","12,409","11,287","11,877","12,014","11,553","10,368","11,725","12,043","14,943","16,168","16,139","14,324","12,843","13,098","14,758","16,868","15,486","14,985","15,239","15,886","16,325","16,233","18,231","19,617","18,387","16,605","18,939","20,869","22,922","22,976","27,320","29,131","27,316","26,668","24,617","22,690","23,330","22,988","23,732","24,113","24,664","21,628","21,321","21,095","22,113","23,539","22,480","23,689"
S&L air transportation structures,560,721,955,"1,073",986,741,952,"1,222","1,506","1,558","1,637","1,820","1,965","2,572","3,148","2,548","2,511","2,816","2,722","2,459","3,285","4,089","4,325","4,413","3,497","3,661","3,431","3,316","2,885","2,770","2,709","3,642","4,516","4,898","3,961","3,574","4,230","4,978","5,417","6,312","6,799","6,876","7,395","8,148","8,753","10,236","11,254","9,672","7,436","8,096","9,232","10,066","11,184","12,745","14,218","13,832","14,343","13,695","12,130","11,367","10,988","11,113","12,227","12,022","9,624","8,306","7,882","7,700","8,057","8,025","8,245"
Private air transportation structures,171,258,309,304,301,278,322,391,325,373,400,509,599,724,694,715,780,755,992,"1,006",974,456,538,542,515,519,556,483,421,478,489,568,615,645,636,723,797,984,"1,137","1,079","1,121","1,243","1,049","1,059",975,917,"1,035","1,079","1,089","1,279","1,351","1,592","1,550","2,430","2,579","1,633","1,252","1,014",808,715,695,726,503,269,554,"1,044",883,661,724,"1,717","2,803"
S&L water transportation structures,331,425,566,640,589,446,572,730,912,945,991,"1,101","1,291","1,329","1,947","1,783","2,243","1,649","1,910","2,165","2,221","2,304","2,094","1,668","1,207","1,289","1,291","1,138","1,365","1,384","1,258","1,838","2,257","2,511","2,090","1,739","1,661","1,613","1,926","1,984","1,783","1,868","1,964","1,956","1,614","1,502","1,735","1,743","2,039","2,287","2,133","2,198","2,293","4,850","5,179","4,023","3,914","2,304","2,096","2,184","2,081","2,027","2,247","2,236","2,060","2,012","2,287","2,651","2,464","2,207","2,249"
Private water transportation structures,23,35,42,41,41,38,44,53,44,50,54,69,81,98,94,97,106,102,134,136,132,62,73,73,70,70,75,65,57,65,66,77,83,87,86,98,108,133,154,146,152,168,142,143,132,124,140,146,147,231,189,125,360,227,236,212,116,200,175,171,258,130,58,136,59,29,113,349,233,94,240
Private other railroad/track replacement structures ,"10,210","10,047","9,395","8,384","8,976","10,094","9,627","7,530","7,274","7,251","6,766","4,918","4,364","4,365","3,652","3,720","4,035","4,352","4,760","5,544","5,116","6,008","6,126","5,185","5,360","5,629","5,846","5,902","5,037","6,317","6,757","7,991","7,890","7,226","6,930","6,221","5,749","6,606","7,525","5,450","4,566","4,230","4,595","4,387","3,987","4,726","4,707","4,924","5,055","6,137","6,861","7,704","6,141","5,465","5,592","5,513","5,676","6,218","6,672","8,187","8,047","8,790","8,290","9,140","8,534","9,158","8,996","9,814","11,016","9,182","9,184"
Other federal structures,459,608,724,855,781,852,911,836,721,702,783,912,954,998,"1,200","1,253","1,306","1,308","1,387","1,385",947,770,522,419,533,604,703,553,518,615,665,712,684,642,493,341,391,245,480,298,337,603,529,419,575,542,536,605,619,787,838,803,818,769,790,"1,150",604,705,377,254,359,344,355,318,393,241,248,204,321,414,266
Private other land structures,34,52,62,61,61,56,65,79,66,75,81,103,121,146,140,144,157,152,200,203,196,92,108,109,104,105,112,97,85,96,99,115,124,130,128,146,161,198,229,217,226,251,212,214,197,185,209,218,220,122,265,435,630,835,537,953,763,481,433,452,560,602,432,543,404,531,686,734,724,841,701
Transit,227,291,378,422,393,310,389,489,595,621,661,727,827,"1,051",680,548,"1,195","1,399","1,783","3,052","4,230","4,812","4,918","3,829","3,193","4,648","5,117","5,113","4,892","6,268","6,240","6,204","6,348","7,124","7,245","7,797","8,441","8,684","8,516","8,479","8,675","9,373","10,333","10,951","10,937","10,807","12,119","14,401","14,802","13,852","12,428","10,973","11,786","12,269","13,174","15,821","17,992","16,829","14,385","13,397","12,759","13,106","13,725","13,565","14,030","14,523","15,303","17,996","18,579","18,125","17,245"
S&L rail equipment,6,7,7,8,8,9,9,10,10,11,14,14,14,14,21,30,57,51,51,49,44,132,189,157,271,795,716,604,623,484,365,410,394,423,334,303,410,477,477,514,475,436,568,738,713,739,703,555,343,207,224,285,326,309,352,501,530,405,281,168,90,129,164,147,88,15,16,16,15,15,15
S&L motor vehicles,23,29,30,31,32,35,37,41,40,45,55,55,59,67,102,151,268,233,204,214,189,196,159,101,146,398,362,343,407,351,281,385,514,795,964,"1,217","1,633","1,869","1,839","1,951","1,786","1,283","1,354","1,439","1,097",883,"1,030","1,130","1,006",958,"1,467","1,634","1,586","1,317","1,346","1,813","2,097","1,908","1,714","1,589","1,343","1,195",895,846,888,937,988,"1,083","1,191","1,261","1,252"
Private local transit structures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S&L local transit structures,199,255,340,384,353,267,343,438,546,565,593,659,753,970,556,366,870,"1,115","1,528","2,788","3,996","4,483","4,571","3,571","2,776","3,455","4,039","4,166","3,863","5,434","5,594","5,409","5,439","5,907","5,946","6,277","6,398","6,338","6,200","6,015","6,414","7,654","8,411","8,774","9,128","9,186","10,387","12,715","13,453","12,687","10,737","9,055","9,874","10,642","11,477","13,507","15,366","14,515","12,390","11,639","11,326","11,782","12,666","12,572","13,054","13,571","14,298","16,896","17,372","16,850","15,978"
Social,"12,049","20,287","30,922","37,087","38,568","37,809","38,341","46,720","49,631","48,918","51,995","55,620","51,908","54,635","59,869","62,076","68,026","74,511","81,165","92,540","98,013","98,777","95,219","89,916","90,246","89,153","89,882","87,970","82,847","81,441","73,179","74,004","74,399","78,047","76,974","82,651","83,092","87,281","89,430","93,626","99,086","103,316","108,087","115,808","120,673","125,715","124,761","122,663","130,903","139,991","154,986","164,226","169,000","178,822","188,160","197,699","204,525","206,785","212,727","221,184","232,880","238,499","223,398","213,253","210,693","213,631","213,385","210,088","219,922","231,330","247,348"
Federal,"2,016","2,878","4,914","4,832","2,979","2,570","2,048","1,924","1,636","1,706","1,806","1,652","2,633","3,025","3,464","3,675","4,014","3,968","4,315","4,357","3,753","3,776","3,261","3,673","3,961","3,941","4,120","4,519","5,360","5,456","6,092","7,027","6,510","6,618","6,576","5,758","5,323","6,487","4,775","5,669","5,936","4,197","4,045","5,116","5,455","6,532","7,208","6,569","6,407","6,683","5,923","5,136","4,444","3,965","3,415","4,052","2,962","2,451","1,511","1,367","1,914","1,824","2,630","3,031","3,894","3,643","3,306","2,861","2,619","2,528","2,542"
Private,"5,356","6,475","7,582","9,774","10,257","9,682","10,101","12,132","11,626","12,449","13,069","14,649","14,265","15,429","17,788","20,616","20,865","23,909","25,361","27,034","26,845","28,531","31,546","32,109","34,296","35,080","33,987","30,985","28,175","29,611","28,558","29,567","30,765","34,103","37,901","46,822","49,198","49,926","50,213","49,623","54,338","55,469","56,001","59,376","57,248","59,226","62,457","60,328","59,223","64,163","73,784","78,962","78,844","84,869","87,131","94,168","99,838","102,912","110,169","115,268","126,925","131,521","123,831","119,374","121,262","130,967","135,011","133,439","139,469","145,931","160,028"
S&L,"4,677","10,935","18,426","22,481","25,332","25,557","26,192","32,664","36,369","34,762","37,120","39,319","35,009","36,181","38,617","37,785","43,147","46,634","51,489","61,149","67,415","66,470","60,412","54,134","51,989","50,132","51,775","52,465","49,312","46,374","38,529","37,409","37,124","37,326","32,497","30,071","28,570","30,867","34,442","38,334","38,812","43,650","48,041","51,316","57,970","59,957","55,097","55,766","65,273","69,145","75,279","80,128","85,712","89,988","97,615","99,479","101,725","101,422","101,047","104,548","104,041","105,154","96,936","90,849","85,536","79,021","75,067","73,788","77,834","82,871","84,779"
Social,"12,049","20,287","30,922","37,087","38,568","37,809","38,341","46,720","49,631","48,918","51,995","55,620","51,908","54,635","59,869","62,076","68,026","74,511","81,165","92,540","98,013","98,777","95,219","89,916","90,246","89,153","89,882","87,970","82,847","81,441","73,179","74,004","74,399","78,047","76,974","82,651","83,092","87,281","89,430","93,626","99,086","103,316","108,087","115,808","120,673","125,715","124,761","122,663","130,903","139,991","154,986","164,226","169,000","178,822","188,160","197,699","204,525","206,785","212,727","221,184","232,880","238,499","223,398","213,253","210,693","213,631","213,385","210,088","219,922","231,330","247,348"
Public safety,983,906,"1,255","1,459","1,183",952,"1,155","1,430","1,556","1,458","1,684","1,758","2,205","2,458","2,784","2,813","2,991","2,958","3,198","3,895","3,499","3,577","3,784","3,801","3,992","4,523","4,054","4,473","5,459","5,661","6,030","6,660","6,629","7,006","6,825","6,702","6,670","8,130","7,551","9,192","9,797","9,048","9,897","11,355","11,296","10,852","10,558","10,376","10,165","9,854","10,325","11,484","10,807","9,790","8,531","7,865","6,601","6,083","5,701","5,857","6,928","6,905","6,579","5,999","6,228","5,439","4,448","4,359","4,286","4,159","4,360"
Education,"7,218","13,416","19,101","22,751","25,777","26,414","28,606","36,309","38,970","38,372","39,575","41,887","37,310","39,514","42,785","42,635","47,973","51,798","56,542","67,590","72,948","71,509","63,385","55,762","51,790","49,939","51,789","49,254","45,088","41,456","34,502","34,561","34,494","35,495","31,272","28,981","28,205","30,464","34,022","38,167","41,384","42,978","47,226","50,367","57,329","60,375","56,400","57,307","67,832","74,817","83,486","89,263","93,556","101,876","110,645","112,577","114,645","112,532","110,569","113,016","112,641","113,510","102,885","93,314","87,156","82,602","78,190","77,561","82,469","88,938","90,842"
Health,"3,848","5,965","10,567","12,878","11,608","10,443","8,580","8,981","9,105","9,088","10,736","11,975","12,393","12,663","14,301","16,628","17,062","19,755","21,426","21,055","21,567","23,691","28,050","30,353","34,464","34,691","34,039","34,242","32,300","34,325","32,648","32,783","33,276","35,546","38,877","46,968","48,217","48,687","47,857","46,267","47,905","51,290","50,964","54,085","52,048","54,489","57,804","54,980","52,906","55,320","61,175","63,480","64,638","67,156","68,984","77,257","83,279","88,171","96,457","102,310","113,312","118,084","113,933","113,940","117,309","125,590","130,746","128,168","133,168","138,233","152,146"
Health,"3,848","5,965","10,567","12,878","11,608","10,443","8,580","8,981","9,105","9,088","10,736","11,975","12,393","12,663","14,301","16,628","17,062","19,755","21,426","21,055","21,567","23,691","28,050","30,353","34,464","34,691","34,039","34,242","32,300","34,325","32,648","32,783","33,276","35,546","38,877","46,968","48,217","48,687","47,857","46,267","47,905","51,290","50,964","54,085","52,048","54,489","57,804","54,980","52,906","55,320","61,175","63,480","64,638","67,156","68,984","77,257","83,279","88,171","96,457","102,310","113,312","118,084","113,933","113,940","117,309","125,590","130,746","128,168","133,168","138,233","152,146"
Private hospitals,"1,090","1,122","1,848","3,166","3,401","3,117","2,496","2,726","2,658","2,527","3,698","4,347","4,166","4,427","5,659","7,144","7,334","9,006","9,414","9,263","8,408","9,495","12,164","13,864","14,863","15,594","14,728","13,785","12,891","13,375","12,498","11,963","11,680","12,281","13,826","18,034","19,729","18,592","16,439","15,655","16,412","18,537","18,182","19,388","17,956","18,728","19,705","18,983","16,040","14,908","17,328","15,853","15,242","15,656","16,651","20,124","21,365","21,349","22,272","24,632","26,333","26,880","27,105","24,710","23,329","23,888","21,129","18,867","20,497","20,776","20,833"
S&L hospitals,595,"1,312","3,404","4,187","4,138","3,909","3,076","3,092","2,851","2,489","2,802","3,319","3,295","3,050","2,742","2,904","2,854","2,970","3,111","3,066","4,305","4,811","4,982","4,639","4,997","4,798","4,388","4,996","5,651","6,182","5,249","4,642","4,510","4,343","3,821","3,691","3,302","3,327","3,204","3,280","3,431","3,292","3,178","3,452","3,822","4,162","3,983","3,541","3,509","3,541","3,732","3,578","3,039","2,748","3,142","3,918","4,181","4,108","4,239","4,450","5,006","5,266","5,386","5,232","5,551","5,653","5,764","4,964","4,547","4,661","5,005"
All federal,682,"1,834","3,551","3,233","1,699","1,295",776,613,540,750,808,742,"1,141","1,093","1,147","1,174","1,340","1,388","1,686","1,468","1,071","1,025",855,974,"1,159","1,041",994,"1,069","1,400","1,580","1,808","2,000","1,744","1,818","1,938","1,700","1,586","1,779","1,715","1,858","2,042","1,813","1,642","1,807","1,577","1,701","1,871","1,731","1,827","2,121","2,070","1,513","1,216","1,056",944,"1,119",884,776,739,744,965,883,"1,727","2,170","2,621","2,620","2,601","2,227","2,108","2,001","1,951"
Private other health structures,868,"1,064","1,133","1,592","1,595","1,325","1,501","1,798","2,186","2,389","2,495","2,710","2,842","3,023","3,556","4,107","4,048","4,582","5,167","5,055","4,770","5,272","6,297","6,653","7,217","7,238","7,255","6,787","5,767","5,743","5,650","5,981","6,893","8,161","9,644","12,239","11,785","12,943","13,975","12,613","11,839","12,475","12,183","11,861","10,001","9,246","9,473","8,975","9,710","11,684","12,853","13,837","14,283","14,250","12,054","12,224","12,593","13,387","12,511","11,362","11,875","13,535","11,610","9,212","9,593","11,487","11,548","11,960","11,837","12,400","13,069"
S&L other health structures,26,46,95,119,105,92,92,105,103,95,110,122,116,79,106,148,96,206,277,235,371,371,423,478,"1,844","1,403","1,259","1,638",664,815,789,673,822,"1,200","1,042",996,812,599,692,718,812,839,981,"1,163","1,199","1,494","1,713","1,606","1,604","1,388","1,338","1,386","1,400","1,333","1,336","1,350","1,235","1,134","1,184","1,307","1,395","1,407","1,403","1,552","1,576","1,432","1,394","1,197","1,061","1,045",966
Private equipment,588,587,536,580,670,705,639,647,767,838,824,735,834,990,"1,090","1,151","1,390","1,603","1,771","1,968","2,641","2,701","3,287","3,674","4,280","4,489","5,283","5,839","5,825","6,549","6,581","7,444","7,540","7,654","8,515","10,211","10,906","11,353","11,737","12,058","13,282","14,242","14,696","16,310","17,390","19,048","20,921","19,985","20,029","21,468","23,605","27,054","29,201","31,868","34,621","38,291","42,740","47,064","55,089","59,320","67,147","69,282","65,775","69,982","73,380","79,199","87,017","87,651","91,790","95,949","108,875"
S&L equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,42,71,104,128,132,129,102,80,73,80,87,89,90,97,96,95,94,85,87,92,102,105,104,109,138,160,187,211,248,259,257,245,236,231,281,353,422,496,591,830,927,"1,081","1,259","1,311","1,294","1,302","1,328","1,400","1,447"
Education,"7,218","13,416","19,101","22,751","25,777","26,414","28,606","36,309","38,970","38,372","39,575","41,887","37,310","39,514","42,785","42,635","47,973","51,798","56,542","67,590","72,948","71,509","63,385","55,762","51,790","49,939","51,789","49,254","45,088","41,456","34,502","34,561","34,494","35,495","31,272","28,981","28,205","30,464","34,022","38,167","41,384","42,978","47,226","50,367","57,329","60,375","56,400","57,307","67,832","74,817","83,486","89,263","93,556","101,876","110,645","112,577","114,645","112,532","110,569","113,016","112,641","113,510","102,885","93,314","87,156","82,602","78,190","77,561","82,469","88,938","90,842"
Private,"2,697","3,522","3,850","4,232","4,379","4,343","5,246","6,692","5,800","6,439","5,785","6,508","6,004","6,481","6,996","7,718","7,555","8,199","8,318","10,055","10,353","10,794","9,479","7,617","7,650","7,456","6,382","4,307","3,476","3,687","3,573","3,862","4,310","5,640","5,570","5,940","6,331","6,468","7,432","8,666","12,161","9,422","10,310","11,214","11,362","11,753","11,781","11,736","12,816","15,336","19,101","20,315","18,657","21,819","23,009","22,911","22,622","20,353","19,308","19,010","20,314","20,655","18,519","15,069","14,658","16,260","15,163","14,696","15,092","16,694","17,152"
Federal,725,783,"1,024","1,129","1,012","1,023","1,031","1,083",910,827,752,783,938,"1,089","1,207","1,340","1,528","1,594","1,692","1,581","1,413","1,253","1,008","1,011","1,146","1,193","1,324","1,357","1,433","1,444","1,546","1,685","1,590","1,581","1,468","1,214","1,170","1,253","1,048","1,067","1,115",973,923,"1,052","1,317","1,494","1,605","1,512","1,472","1,518",693,571,497,631,892,"1,210","1,037","1,130",477,376,454,439,460,403,471,463,531,468,398,256,195
S&L K-12,"2,987","7,194","11,224","13,736","16,155","16,703","17,700","22,612","25,533","24,624","26,157","27,388","24,016","25,859","26,701","24,654","26,632","27,856","30,465","35,361","38,969","39,269","33,353","26,316","24,227","21,804","21,465","23,728","26,663","23,191","19,012","19,483","19,672","18,989","15,361","14,071","13,486","14,456","16,778","19,131","18,841","22,335","24,973","27,357","32,795","33,805","29,815","30,506","38,554","43,284","47,562","51,581","56,567","60,247","65,715","64,846","64,903","63,716","64,045","66,682","65,001","63,910","54,372","47,444","42,561","38,039","36,380","37,468","40,906","44,859","47,086"
S&L higher education,743,"1,799","2,805","3,422","4,015","4,148","4,406","5,626","6,367","6,138","6,515","6,819","5,991","5,550","7,233","8,183","11,379","12,932","14,391","18,489","19,705","17,847","17,373","18,067","16,330","17,089","20,557","17,558","10,344","10,276","8,367","7,688","7,227","7,559","7,535","6,738","5,958","6,768","7,617","8,299","8,154","8,900","9,464","9,114","10,323","11,987","12,012","12,318","13,613","13,045","14,423","15,215","16,387","17,515","19,112","21,592","24,038","25,451","24,815","25,112","25,059","26,907","27,382","27,817","27,518","26,338","24,733","23,536","24,636","25,795","25,305"
S&L libraries,50,74,122,139,123,94,120,163,203,188,204,223,213,334,368,430,417,476,539,664,915,878,815,767,684,592,591,566,690,621,470,524,535,563,516,446,427,508,520,614,693,832,857,"1,025","1,099",951,832,798,872,"1,098","1,128","1,065",942,984,"1,092","1,216","1,360","1,361","1,484","1,314","1,262","1,131","1,141","1,033",895,825,688,720,863,900,723
S&L other educational structures,16,44,75,91,93,104,104,133,157,157,162,167,147,202,280,310,463,740,"1,137","1,440","1,592","1,469","1,357","1,984","1,752","1,805","1,469","1,739","2,483","2,237","1,534","1,318","1,160","1,164",823,571,832,"1,012",627,392,419,516,699,605,433,385,355,437,505,536,579,516,505,680,825,802,685,522,440,523,551,467,"1,012","1,548","1,053",677,696,673,575,434,381
